experiment,amountpeople,match,iPhone
0,10000,0,0
1,10000,13,9
2,10000,1,0
3,10000,0,0
4,10000,5,5
5,10000,3,1
6,10000,0,0
7,10000,1,1
8,10000,2,0
9,10000,1,1
10,10000,2,0
11,10000,0,0
12,10000,0,0
13,10000,13,13
14,10000,0,0
15,10000,8,3
16,10000,0,0
17,10000,0,0
18,10000,2,2
19,10000,0,0
20,10000,0,0
21,10000,0,0
22,10000,16,7
23,10000,17,17
24,10000,18,8
25,10000,3,3
26,10000,5,2
27,10000,0,0
28,10000,12,3
29,10000,0,0
30,10000,21,21
31,10000,12,12
32,10000,27,27
33,10000,10,1
34,10000,9,3
35,10000,16,16
36,10000,35,11
37,10000,4,2
38,10000,12,6
39,10000,15,1
40,10000,6,6
41,10000,5,5
42,10000,0,0
43,10000,2,2
44,10000,3,3
45,10000,0,0
46,10000,7,1
47,10000,0,0
48,10000,12,12
49,10000,3,1
50,10000,1,0
51,10000,1,1
52,10000,15,15
53,10000,6,1
54,10000,0,0
55,10000,1,1
56,10000,0,0
57,10000,3,1
58,10000,1,1
59,10000,2,1
60,10000,5,5
61,10000,3,1
62,10000,4,0
63,10000,1,1
64,10000,2,0
65,10000,3,0
66,10000,0,0
67,10000,8,8
68,10000,0,0
69,10000,0,0
70,10000,0,0
71,10000,2,0
72,10000,5,1
73,10000,1,0
74,10000,11,11
75,10000,11,11
76,10000,2,2
77,10000,31,13
78,10000,2,2
79,10000,32,32
80,10000,0,0
81,10000,2,1
82,10000,3,1
83,10000,3,1
84,10000,0,0
85,10000,9,5
86,10000,33,17
87,10000,1,0
88,10000,5,5
89,10000,0,0
90,10000,0,0
91,10000,0,0
92,10000,2,0
93,10000,11,2
94,10000,0,0
95,10000,1,1
96,10000,0,0
97,10000,0,0
98,10000,27,27
99,10000,23,8
100,10000,9,9
101,10000,23,15
102,10000,0,0
103,10000,0,0
104,10000,0,0
105,10000,8,1
106,10000,9,3
107,10000,1,1
108,10000,12,4
109,10000,0,0
110,10000,0,0
111,10000,0,0
112,10000,9,9
113,10000,5,5
114,10000,1,0
115,10000,1,1
116,10000,15,15
117,10000,2,0
118,10000,3,3
119,10000,2,2
120,10000,2,0
121,10000,3,3
122,10000,9,2
123,10000,3,0
124,10000,3,1
125,10000,26,7
126,10000,4,3
127,10000,2,2
128,10000,0,0
129,10000,0,0
130,10000,2,1
131,10000,1,0
132,10000,2,0
133,10000,15,4
134,10000,0,0
135,10000,5,5
136,10000,10,4
137,10000,1,1
138,10000,1,0
139,10000,2,2
140,10000,6,4
141,10000,8,3
142,10000,29,9
143,10000,2,2
144,10000,2,2
145,10000,1,1
146,10000,0,0
147,10000,1,1
148,10000,0,0
149,10000,0,0
150,10000,1,1
151,10000,6,1
152,10000,9,9
153,10000,39,18
154,10000,0,0
155,10000,8,4
156,10000,2,2
157,10000,5,5
158,10000,1,1
159,10000,10,4
160,10000,2,2
161,10000,0,0
162,10000,2,1
163,10000,0,0
164,10000,3,3
165,10000,0,0
166,10000,0,0
167,10000,9,3
168,10000,26,9
169,10000,3,0
170,10000,4,4
171,10000,2,1
172,10000,1,1
173,10000,6,1
174,10000,5,2
175,10000,4,1
176,10000,11,4
177,10000,0,0
178,10000,1,1
179,10000,9,9
180,10000,7,2
181,10000,4,0
182,10000,8,3
183,10000,13,6
184,10000,6,2
185,10000,4,2
186,10000,24,9
187,10000,0,0
188,10000,4,1
189,10000,0,0
190,10000,3,1
191,10000,1,1
192,10000,15,15
193,10000,6,6
194,10000,1,1
195,10000,18,18
196,10000,8,2
197,10000,0,0
198,10000,0,0
199,10000,16,8
200,10000,0,0
201,10000,1,1
202,10000,4,1
203,10000,0,0
204,10000,0,0
205,10000,2,1
206,10000,6,4
207,10000,15,2
208,10000,4,3
209,10000,0,0
210,10000,1,1
211,10000,0,0
212,10000,2,1
213,10000,2,2
214,10000,3,0
215,10000,0,0
216,10000,6,5
217,10000,8,8
218,10000,1,0
219,10000,2,2
220,10000,3,1
