experiment,amountpeople,match,iPhone
0,10000,1,1
1,10000,19,5
2,10000,0,0
3,10000,1,0
4,10000,13,3
5,10000,51,20
6,10000,1,0
7,10000,39,11
8,10000,9,9
9,10000,1,1
10,10000,18,8
11,10000,19,9
12,10000,12,6
13,10000,15,15
14,10000,9,5
15,10000,22,10
16,10000,2,0
17,10000,5,2
18,10000,27,27
19,10000,75,75
20,10000,27,11
21,10000,3,3
22,10000,39,11
23,10000,55,19
24,10000,5,3
25,10000,22,6
26,10000,9,2
27,10000,18,18
28,10000,2,0
29,10000,23,7
30,10000,11,11
31,10000,93,93
32,10000,4,4
33,10000,29,9
34,10000,1,1
35,10000,4,4
36,10000,18,18
37,10000,2,0
38,10000,7,4
39,10000,101,43
40,10000,2,0
41,10000,0,0
42,10000,28,28
43,10000,21,9
44,10000,2,1
45,10000,10,10
46,10000,28,11
47,10000,0,0
48,10000,14,1
49,10000,1,1
50,10000,12,3
51,10000,17,17
52,10000,12,12
53,10000,8,2
54,10000,46,46
55,10000,21,21
56,10000,12,3
57,10000,35,13
58,10000,13,5
59,10000,100,100
60,10000,4,2
61,10000,22,10
62,10000,9,2
63,10000,0,0
64,10000,62,16
65,10000,12,2
66,10000,19,9
67,10000,17,7
68,10000,0,0
69,10000,14,14
70,10000,0,0
71,10000,0,0
72,10000,7,2
73,10000,1,1
74,10000,17,17
75,10000,27,27
76,10000,27,5
77,10000,5,5
78,10000,13,13
79,10000,2,2
80,10000,15,15
81,10000,27,11
82,10000,36,11
83,10000,0,0
84,10000,113,38
85,10000,85,85
86,10000,70,70
87,10000,23,7
88,10000,74,74
89,10000,12,3
90,10000,0,0
91,10000,22,8
92,10000,23,10
93,10000,2,1
94,10000,3,1
95,10000,36,16
96,10000,15,6
97,10000,6,6
98,10000,11,3
99,10000,34,15
100,10000,89,37
101,10000,13,5
102,10000,3,2
103,10000,3,3
104,10000,34,34
105,10000,1,1
106,10000,26,9
107,10000,34,13
108,10000,1,0
109,10000,52,20
110,10000,5,5
111,10000,17,10
112,10000,3,0
113,10000,7,1
114,10000,35,35
115,10000,1,1
116,10000,0,0
117,10000,27,10
118,10000,0,0
119,10000,3,2
120,10000,5,0
121,10000,3,3
122,10000,10,5
123,10000,2,0
124,10000,1,0
125,10000,14,9
126,10000,45,13
127,10000,10,3
128,10000,4,0
129,10000,43,14
130,10000,10,3
131,10000,2,2
132,10000,34,15
133,10000,7,7
134,10000,2,2
135,10000,0,0
136,10000,13,13
137,10000,21,2
138,10000,0,0
139,10000,0,0
140,10000,63,19
141,10000,3,3
142,10000,15,3
143,10000,0,0
144,10000,40,13
145,10000,61,27
146,10000,4,3
147,10000,13,4
148,10000,8,8
149,10000,19,8
150,10000,9,9
151,10000,11,11
152,10000,5,0
153,10000,44,15
154,10000,20,20
155,10000,4,2
156,10000,87,36
157,10000,40,40
158,10000,8,8
159,10000,2,2
160,10000,5,1
161,10000,2,2
162,10000,1,1
163,10000,16,7
164,10000,1,1
165,10000,2,0
166,10000,9,9
167,10000,18,4
168,10000,2,2
169,10000,25,8
170,10000,27,8
171,10000,34,12
172,10000,21,4
173,10000,48,20
174,10000,102,38
175,10000,3,3
176,10000,3,3
177,10000,85,32
178,10000,4,1
179,10000,38,13
180,10000,3,3
181,10000,46,46
182,10000,47,17
183,10000,28,10
184,10000,42,16
185,10000,3,3
186,10000,14,14
187,10000,34,34
188,10000,15,6
189,10000,14,2
190,10000,43,43
191,10000,0,0
192,10000,15,7
193,10000,0,0
194,10000,43,43
195,10000,8,8
196,10000,21,10
197,10000,1,1
198,10000,9,3
199,10000,9,9
200,10000,0,0
201,10000,1,0
202,10000,3,0
203,10000,0,0
204,10000,5,5
205,10000,23,23
206,10000,5,5
207,10000,1,0
208,10000,128,47
209,10000,14,14
210,10000,8,8
211,10000,30,10
212,10000,37,37
213,10000,6,6
214,10000,0,0
215,10000,3,3
216,10000,5,2
217,10000,23,23
218,10000,13,3
219,10000,42,16
220,10000,0,0
221,10000,2,0
222,10000,7,3
223,10000,14,5
224,10000,7,3
225,10000,47,47
226,10000,123,50
227,10000,9,9
228,10000,17,17
229,10000,1,1
230,10000,9,3
231,10000,30,8
232,10000,39,39
233,10000,4,4
234,10000,1,0
235,10000,5,0
236,10000,8,8
237,10000,15,3
238,10000,2,0
239,10000,13,0
240,10000,127,127
241,10000,1,1
242,10000,7,2
243,10000,70,29
244,10000,0,0
245,10000,76,20
246,10000,0,0
247,10000,1,0
248,10000,8,8
249,10000,0,0
250,10000,10,2
251,10000,8,8
252,10000,1,1
253,10000,15,15
254,10000,87,25
255,10000,6,3
256,10000,6,6
257,10000,33,13
258,10000,13,3
259,10000,72,72
260,10000,1,0
261,10000,31,13
262,10000,1,0
263,10000,54,19
264,10000,2,1
265,10000,35,11
266,10000,18,7
267,10000,2,0
268,10000,18,5
269,10000,3,3
270,10000,3,1
271,10000,7,7
272,10000,46,18
273,10000,60,22
274,10000,7,3
275,10000,0,0
276,10000,9,2
277,10000,8,5
278,10000,18,10
279,10000,5,5
280,10000,0,0
281,10000,24,24
282,10000,12,6
283,10000,10,6
284,10000,16,2
285,10000,21,7
286,10000,12,12
287,10000,12,12
288,10000,5,3
289,10000,9,3
290,10000,1,1
291,10000,23,7
292,10000,21,5
293,10000,123,45
294,10000,35,35
295,10000,6,1
296,10000,1,0
297,10000,72,23
298,10000,3,0
299,10000,1,0
300,10000,23,10
301,10000,6,3
302,10000,2,0
303,10000,1,1
304,10000,40,15
305,10000,4,1
306,10000,6,1
307,10000,36,36
308,10000,50,14
309,10000,124,124
310,10000,45,45
311,10000,13,5
312,10000,11,3
313,10000,17,5
314,10000,9,2
315,10000,3,2
316,10000,11,11
317,10000,27,11
318,10000,3,3
319,10000,57,16
320,10000,94,38
321,10000,18,4
322,10000,23,8
323,10000,8,8
324,10000,6,1
325,10000,32,32
326,10000,7,7
327,10000,10,4
328,10000,3,1
329,10000,0,0
330,10000,85,28
331,10000,19,19
332,10000,13,6
333,10000,9,9
334,10000,29,29
335,10000,37,15
336,10000,13,8
337,10000,10,3
338,10000,5,3
339,10000,6,6
340,10000,22,22
341,10000,73,27
342,10000,4,2
343,10000,2,0
344,10000,51,19
345,10000,0,0
346,10000,4,3
347,10000,29,29
348,10000,22,8
349,10000,9,6
350,10000,0,0
351,10000,1,1
352,10000,7,7
353,10000,7,3
354,10000,15,15
355,10000,37,37
356,10000,15,6
357,10000,26,11
358,10000,8,2
359,10000,40,40
360,10000,29,29
361,10000,42,16
362,10000,76,27
363,10000,14,6
364,10000,0,0
365,10000,93,93
366,10000,6,2
367,10000,14,14
368,10000,23,23
369,10000,18,9
