experiment,amountpeople,match,iPhone
0,10000,1,0
1,10000,33,33
2,10000,22,22
3,10000,10,10
4,10000,1,0
5,10000,1,1
6,10000,18,11
7,10000,7,2
8,10000,4,4
9,10000,1,0
10,10000,0,0
11,10000,7,7
12,10000,19,19
13,10000,7,4
14,10000,5,3
15,10000,7,2
16,10000,1,1
17,10000,0,0
18,10000,12,4
19,10000,2,0
20,10000,1,1
21,10000,4,2
22,10000,42,20
23,10000,1,1
24,10000,48,21
25,10000,8,2
26,10000,0,0
27,10000,1,0
28,10000,22,5
29,10000,2,2
30,10000,5,4
31,10000,50,50
32,10000,2,2
33,10000,2,0
34,10000,1,1
35,10000,3,0
36,10000,13,5
37,10000,3,0
38,10000,4,0
39,10000,0,0
40,10000,6,6
41,10000,1,1
42,10000,11,5
43,10000,0,0
44,10000,15,8
45,10000,1,0
46,10000,52,17
47,10000,6,6
48,10000,3,2
49,10000,13,13
50,10000,2,2
51,10000,6,1
52,10000,17,7
53,10000,2,0
54,10000,3,3
55,10000,1,0
56,10000,8,5
57,10000,1,1
58,10000,3,3
59,10000,17,17
60,10000,50,22
61,10000,0,0
62,10000,39,39
63,10000,4,2
64,10000,11,11
65,10000,25,11
66,10000,4,4
67,10000,9,9
68,10000,15,6
69,10000,0,0
70,10000,3,1
71,10000,12,3
72,10000,1,0
73,10000,12,2
74,10000,3,1
75,10000,12,5
76,10000,2,1
77,10000,43,16
78,10000,15,15
79,10000,2,1
80,10000,0,0
81,10000,9,9
82,10000,13,13
83,10000,3,0
84,10000,10,1
85,10000,25,12
86,10000,5,3
87,10000,3,3
88,10000,12,4
89,10000,5,5
90,10000,35,8
91,10000,0,0
92,10000,18,6
93,10000,5,0
94,10000,0,0
95,10000,3,2
96,10000,62,19
97,10000,0,0
98,10000,50,18
99,10000,0,0
100,10000,6,6
101,10000,49,12
102,10000,4,4
103,10000,7,1
104,10000,10,10
105,10000,25,25
106,10000,25,13
107,10000,8,8
108,10000,1,1
109,10000,4,2
110,10000,0,0
111,10000,2,2
112,10000,18,7
113,10000,0,0
114,10000,30,13
115,10000,8,3
116,10000,3,3
117,10000,1,0
118,10000,2,1
119,10000,1,0
120,10000,6,2
121,10000,1,1
122,10000,1,0
123,10000,4,4
124,10000,10,10
125,10000,17,17
126,10000,0,0
127,10000,1,0
128,10000,3,1
129,10000,1,1
130,10000,6,2
131,10000,11,11
132,10000,29,29
133,10000,6,1
134,10000,4,4
135,10000,6,2
136,10000,12,3
137,10000,0,0
138,10000,2,2
139,10000,17,5
140,10000,1,0
141,10000,4,4
142,10000,4,4
143,10000,0,0
144,10000,0,0
145,10000,23,10
146,10000,0,0
147,10000,23,23
148,10000,1,0
149,10000,19,19
150,10000,5,0
151,10000,9,4
152,10000,14,5
153,10000,1,1
154,10000,9,9
155,10000,41,20
156,10000,1,0
157,10000,3,0
158,10000,16,16
159,10000,9,3
160,10000,27,11
161,10000,7,7
162,10000,4,0
163,10000,0,0
164,10000,34,34
165,10000,1,0
166,10000,15,4
167,10000,1,1
168,10000,9,4
169,10000,38,38
170,10000,23,23
171,10000,12,6
172,10000,0,0
173,10000,23,23
174,10000,0,0
175,10000,3,1
176,10000,4,1
177,10000,5,2
178,10000,7,7
179,10000,30,14
180,10000,0,0
181,10000,5,5
182,10000,0,0
183,10000,10,2
184,10000,2,0
185,10000,2,2
186,10000,26,13
187,10000,8,8
188,10000,5,1
189,10000,68,68
190,10000,6,0
191,10000,1,1
192,10000,19,19
193,10000,2,1
194,10000,13,4
195,10000,0,0
196,10000,2,0
197,10000,16,5
198,10000,3,3
199,10000,3,3
200,10000,0,0
201,10000,24,8
202,10000,1,0
203,10000,6,6
204,10000,34,34
205,10000,8,8
206,10000,7,1
207,10000,12,5
208,10000,0,0
209,10000,3,3
210,10000,2,0
211,10000,32,32
212,10000,10,8
213,10000,0,0
214,10000,40,14
215,10000,2,1
216,10000,58,58
217,10000,2,0
218,10000,20,9
219,10000,9,4
220,10000,4,2
221,10000,1,1
222,10000,23,23
223,10000,0,0
224,10000,22,10
225,10000,22,6
226,10000,9,9
227,10000,2,0
228,10000,0,0
229,10000,15,15
230,10000,64,21
231,10000,20,7
232,10000,0,0
233,10000,0,0
234,10000,8,8
235,10000,1,0
236,10000,0,0
237,10000,0,0
238,10000,4,1
239,10000,7,4
240,10000,16,4
241,10000,1,0
242,10000,7,3
243,10000,43,13
244,10000,0,0
245,10000,10,10
246,10000,23,12
247,10000,2,2
248,10000,0,0
249,10000,1,0
250,10000,53,53
251,10000,0,0
252,10000,7,3
253,10000,1,1
254,10000,3,3
255,10000,0,0
256,10000,16,16
257,10000,3,3
258,10000,34,14
259,10000,7,4
260,10000,8,8
261,10000,1,0
262,10000,7,2
263,10000,40,40
264,10000,11,5
265,10000,3,1
266,10000,1,1
267,10000,23,10
268,10000,4,4
269,10000,22,22
270,10000,3,3
271,10000,3,1
272,10000,12,2
273,10000,0,0
274,10000,1,1
275,10000,1,1
276,10000,31,31
277,10000,3,3
278,10000,8,8
279,10000,0,0
280,10000,2,2
281,10000,3,0
282,10000,0,0
283,10000,7,2
284,10000,0,0
285,10000,25,25
286,10000,14,6
287,10000,38,38
288,10000,0,0
289,10000,5,1
290,10000,0,0
291,10000,2,2
292,10000,0,0
293,10000,6,6
294,10000,18,7
295,10000,22,8
296,10000,27,27
297,10000,0,0
298,10000,11,3
299,10000,2,2
300,10000,3,0
301,10000,17,4
302,10000,9,4
303,10000,51,21
304,10000,0,0
305,10000,1,1
306,10000,22,22
307,10000,32,32
308,10000,16,4
309,10000,1,0
310,10000,37,37
311,10000,18,6
312,10000,0,0
313,10000,27,27
314,10000,48,48
315,10000,6,2
316,10000,3,1
317,10000,5,2
318,10000,5,0
319,10000,16,16
320,10000,17,17
321,10000,31,13
322,10000,16,5
323,10000,2,2
324,10000,0,0
325,10000,0,0
